Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Performance % 1 year,Performance % 6 months,Performance % 1 month,"Earnings per share diluted growth %, Annual YoY","Revenue growth %, Annual YoY","Debt to equity ratio, Quarterly","Current ratio, Quarterly","Net margin %, Trailing 12 months","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency",Industry,Country or region of registration
ART,Arteche Lantegi Elkartea SA,1480478781.8310099,USD,39.222807336117675,170.00000000000003,86.20689655172416,-2.7027027027026933,56.98059630856602,11.503379388719422,1.5020720595130999,1.26030790014354,7.00073522654168,40732538.220000006,USD,Wholesale distributors,Spain
ERF,Eurofins Scientific SE,14971139635.71572,USD,31.477723864137626,47.43801652892562,8.023009385407201,15.096774193548388,33.30143540669858,6.6987996193166115,1.55134000174973,1.25577826795819,6.05097770250409,892445224.0000001,USD,Miscellaneous commercial services,Luxembourg
SUN,Sulzer AG,6912771673.8336,USD,21.521001139936615,16.081081081081088,10.128205128205135,17.189631650750353,14.677329812294628,7.5844836517658525,1.01987632508834,1.23089268673549,7.63034235846946,282077520,USD,Industrial machinery,Switzerland
DOC,DO & CO Aktiengesellschaft,2604377797.7800198,USD,22.259922414445175,17.178612059158127,3,0,37.78047102754756,26.308499821374593,0.783221138873584,1.22938222763238,4.22917238682409,160409248,USD,Restaurants,Austria
MHA,MHA Plc,507204503.8944,USD,6.613183000867303,49.53912531868994,10.547299746284894,-3.7854889589905363,47.497842968075915,45.5176353733194,0.442955435588017,1.22290062627668,23.7448690936868,95327975.60000001,USD,Miscellaneous commercial services,United Kingdom
RR.,Rolls-Royce Holdings plc,144400005864.9312,USD,18.216443514470107,107.47164776517678,25.987441766254815,7.705627705627705,4.076655052264823,14.697318937280116,2.03862126245847,1.21703809419256,29.624321834374,4596134400,USD,Aerospace & defense,United Kingdom
ABS,Asseco Business Solutions SA,809106125.38614,USD,23.221291485526454,47.972972972972954,-1.5730337078651748,3.058823529411758,21.66191933044977,12.685131655016555,0.12207883837540599,1.2001869829154,27.2574942352037,46834821.27,USD,Packaged software,Poland
SRC,SigmaRoc Plc,2077253987.6352,USD,37.36014765073528,89.1156462585034,20.659722222222218,8.255451713395635,2.1052631578947425,77.69855497359,0.8970027291657201,1.19928352200255,4.37580552949309,31902499.2,USD,Construction materials,United Kingdom
PRY,Prysmian S.p.A.,31528074009.284138,USD,24.5583712477442,39.6242774566474,47.107186358099874,12.768440709617176,36.849530631070586,10.889670444183926,0.817372671831218,1.1951577402788,5.86107091172214,966914560,USD,Electrical products,Italy
OR,L'Oreal S.A.,239031610120.89633,USD,33.88102924836172,13.779932422506237,4.183481302125373,5.647251398172143,3.8157597651840223,5.59533782553269,0.283158846849621,1.18676259553385,13.9625860814383,8715476814,USD,Household/Personal care,France
GHC,Garofalo Health Care S.P.A.,575732315.2214099,USD,18.261161463578382,6.250000000000005,6.666666666666681,-0.3663003663003585,4.427415921668792,28.034473110475183,0.6748111121962479,1.17714150923761,5.5143723215219,16688663.68,USD,Hospital/Nursing management,Italy
RBW,Rainbow Tours S.A.,595810641.04002,USD,8.229897463572584,17.669753086419757,17.48844375963019,0.7931262392597412,63.144290838062226,23.52197977040085,0.182915305746503,1.1657286991121,6.02091709859715,112884583.41000001,USD,Other consumer services,Poland
AIR,Airbus SE,192256153019.52203,USD,32.2583161705049,26.54547680254621,14.352876106194683,5.64639754726623,11.515934718719391,5.781865965834428,0.572778107260866,1.13895179022677,7.01990242820712,4635088000,USD,Aerospace & defense,Netherlands
ALVDM,Voyageurs du Monde SA,867580191.60022,USD,13.97706414293653,14.16781292984869,-2.9239766081871346,-1.7751479289940828,22.566787488253453,6.009008177718313,0.0270681056548012,1.12452300763581,6.25023735161432,57842842.970000006,USD,Other consumer services,France
TGYM,Technogym S.p.A,4096567562.9938498,USD,37.33941152092831,71.61904761904762,42.7892234548336,9.344660194174752,18.976313640076224,11.50395392217173,0.317691832161348,1.11907117949536,10.1202764422448,154781996.05000004,USD,Recreational products,Italy
ALFA,Alfa Laval AB,22477818314.3822,USD,25.25247519846186,5.332782141380737,19.65250058699226,10.42253521126761,16.761563977329107,5.276895499858486,0.523358078396142,1.1150858849888,12.1181307107889,686020200,USD,Industrial machinery,Sweden
KOG,Kongsberg Gruppen ASA,29285436982.368877,USD,39.32416081430015,21.25,1.1713735558408143,20.878067484662573,38.225458340250924,20.293567136242736,0.26815169183236204,1.07629438603452,12.933279536368,1204864290,USD,Trucks/Construction/Farm machinery,Norway
CS,Coinshares International Limited,806782294.1783999,USD,6.262544217446837,16.284153005464486,-10.588235294117643,-9.369676320272571,133.4841208005303,143.46632842318795,0.17602692890131302,1.06866392114428,13.9434133707161,1818365.168,USD,Packaged software,United Kingdom
HEIJM,Koninklijke Heijmans N.V.,2187358457.40032,USD,17.4549825818164,132.89689034369889,20.59322033898306,7.153614457831325,38.24684549176903,22.050689622763148,0.248945147679325,1.05975609756098,4.18347527267294,,,Engineering & construction,Netherlands
ASSA_B,ASSA ABLOY AB Class B,44074917783.196,USD,27.689933271800147,8.348134991119002,13.488372093023257,2.8378758078111894,14.71393419916241,6.741509125423921,0.6759076549210209,1.05746283066229,9.55451729612952,2018665800,USD,Tools & hardware,Sweden
SYNSAM,Synsam AB,1054699699.3144,USD,24.01255931780069,39.6265560165975,19.750889679715293,1.0510510510510553,18.774258469500214,8.975444538526672,1.4401622718052702,1.05510907003444,5.88916220518015,72859200,USD,Specialty stores,Sweden
TE,Technip Energies NV,6695010643.56664,USD,14.578028373954167,15.075376884422122,-13.584905660377355,-0.06234413965086042,28.131842120835543,11.91451795589313,0.46389280677009903,1.05187174752392,5.406296357343,1512185763,USD,Engineering & construction,France
