timestamp_entry,timestamp_exit,direction,direction_filter,threshold,wf_window,entry_price,exit_price,exit_reason,pnl_points,pnl_pct
2024-11-05T14:30:00Z,2024-11-05T15:45:00Z,Long,dir_sess_mom,0.65,19,2744.39,2743.0674,trail,-1.8226,-0.06641
2024-11-08T08:00:00Z,2024-11-08T09:00:00Z,Short,dir_sess_mom,0.65,19,2683.11,2687.8097,trail,-5.1997,-0.19379
2024-11-08T11:30:00Z,2024-11-08T12:30:00Z,Short,dir_sess_mom,0.65,19,2687.81,2693.4203,trail,-6.1103,-0.22733
2024-11-15T13:00:00Z,2024-11-15T14:00:00Z,Short,dir_sess_mom,0.65,19,2566.8,2571.8907,trail,-5.5907,-0.21781
2024-11-15T14:15:00Z,2024-11-15T14:30:00Z,Long,dir_sess_mom,0.65,19,2570.38,2564.8353,trail,-6.0447,-0.23517
2024-11-22T13:00:00Z,2024-11-22T13:45:00Z,Short,dir_sess_mom,0.65,19,2700.16,2704.6045,trail,-4.9445,-0.18312
2024-11-28T13:30:00Z,2024-11-28T15:45:00Z,Long,dir_sess_mom,0.65,19,2646.1,2642.9628,trail,-3.6372,-0.13746
2024-11-29T12:00:00Z,2024-11-29T13:15:00Z,Short,dir_sess_mom,0.65,19,2663.48,2664.4909,trail,-1.5109,-0.05673
2024-12-02T13:15:00Z,2024-12-02T15:45:00Z,Long,dir_ema,0.55,20,2641.99,2643.844,trail,1.354,0.05125
2024-12-03T12:00:00Z,2024-12-03T13:15:00Z,Long,dir_ema,0.55,20,2643.4,2640.8822,trail,-3.0178,-0.11416
2024-12-03T13:15:00Z,2024-12-03T14:00:00Z,Short,dir_ema,0.55,20,2638.74,2642.7758,trail,-4.5358,-0.17189
2024-12-04T07:30:00Z,2024-12-04T08:15:00Z,Long,dir_ema,0.55,20,2649.49,2646.0368,trail,-3.9532,-0.14921
2024-12-04T11:00:00Z,2024-12-04T12:00:00Z,Short,dir_ema,0.55,20,2641.5,2645.3406,trail,-4.3406,-0.16432
2024-12-05T06:00:00Z,2024-12-05T06:30:00Z,Short,dir_ema,0.55,20,2646.93,2650.2104,trail,-3.7804,-0.14282
2024-12-05T12:00:00Z,2024-12-05T14:15:00Z,Long,dir_ema,0.55,20,2648.88,2649.221,trail,-0.159,-0.006
2024-12-06T11:30:00Z,2024-12-06T12:30:00Z,Short,dir_ema,0.55,20,2634.69,2638.8258,trail,-4.6358,-0.17595
2024-12-06T12:30:00Z,2024-12-06T14:00:00Z,Long,dir_ema,0.55,20,2637.37,2636.1607,trail,-1.7093,-0.06481
2024-12-09T13:00:00Z,2024-12-09T14:45:00Z,Long,dir_ema,0.55,20,2657.42,2665.4393,tp,7.5193,0.28296
2024-12-09T14:45:00Z,2024-12-09T15:45:00Z,Long,dir_ema,0.55,20,2665.43,2674.1501,tp,8.2201,0.3084
2024-12-10T13:45:00Z,2024-12-10T14:15:00Z,Long,dir_ema,0.55,20,2677.69,2672.5196,trail,-5.6704,-0.21177
2024-12-11T13:00:00Z,2024-12-11T14:15:00Z,Long,dir_ema,0.55,20,2696.35,2691.8176,trail,-5.0324,-0.18664
2024-12-11T14:15:00Z,2024-12-11T15:45:00Z,Long,dir_ema,0.55,20,2695,2704.3948,tp,8.8948,0.33005
