datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,entry_time,exit_time
2021-10-13T15:45:00Z,1778.76,1781.63,1782.8,1778.07,12996,15,2021-10-13,4.9444007790937,0.277521190095233,TRUE,13,1,upper,4,0.00693802975238078,1793.99100194773,1769.26899805227,12,1,1,2021-10-13T15:45:00Z,2021-10-13T16:45:00Z
2021-10-14T02:00:00Z,1791.58,1791.57,1792.13,1791.53,1996,2,2021-10-14,1.13210023006081,0.0631903989272434,TRUE,68,-1,lower,10,-0.00157975997318115,1794.40025057515,1788.73974942485,20,1,1,2021-10-14T02:00:00Z,2021-10-14T04:30:00Z
2021-10-15T02:00:00Z,1795.28,1795.53,1796.2,1795.15,1859,2,2021-10-15,0.774130918415426,0.04311434052427,TRUE,68,-1,lower,19,-0.00107785851310678,1797.46532729604,1793.59467270396,20,1,1,2021-10-15T02:00:00Z,2021-10-15T06:45:00Z
2021-10-15T09:45:00Z,1787.38,1786.64,1787.58,1785.34,5004,9,2021-10-15,1.55088585380352,0.0868046083040523,TRUE,37,-1,lower,6,-0.00217011520760133,1790.51721463451,1782.76278536549,20,1,1,2021-10-15T09:45:00Z,2021-10-15T11:15:00Z
2021-10-15T11:30:00Z,1782.63,1781.45,1782.66,1780.65,6162,11,2021-10-15,1.9285697811281,0.108258428871318,TRUE,30,-1,lower,10,-0.00270646072178301,1786.27142445282,1776.62857554718,20,1,1,2021-10-15T11:30:00Z,2021-10-15T14:00:00Z
2021-10-15T14:30:00Z,1774.48,1773.92,1774.48,1770.24,17721,14,2021-10-15,2.52710654345645,0.142458878836501,TRUE,18,-1,lower,1,-0.00356147197091254,1780.23776635864,1767.60223364136,17,1,1,2021-10-15T14:30:00Z,2021-10-15T14:45:00Z
2021-10-15T15:00:00Z,1767.25,1766.94,1770.31,1766.71,13840,15,2021-10-15,3.25205630019971,0.184050182813209,TRUE,16,1,upper,4,0.00460125457033024,1775.0701407505,1758.8098592495,15,1,1,2021-10-15T15:00:00Z,2021-10-15T16:00:00Z
2021-10-18T02:00:00Z,1770.87,1770.01,1771.08,1768.9,2901,2,2021-10-18,1.72024824533486,0.0971886173148659,TRUE,68,0,vertical,20,-0.000887000638414436,1774.31062061334,1765.70937938666,20,1,1,2021-10-18T02:00:00Z,2021-10-18T07:00:00Z
2021-10-18T08:15:00Z,1762.3,1764.03,1764.27,1761.88,5811,8,2021-10-18,1.87944093523796,0.106542458758522,TRUE,43,0,vertical,20,-0.000391149810377405,1768.72860233809,1759.33139766191,20,1,1,2021-10-18T08:15:00Z,2021-10-18T13:15:00Z
2021-10-19T02:00:00Z,1763.93,1764.76,1764.94,1763.19,1980,2,2021-10-19,0.914952009670866,0.0518456906135036,TRUE,68,1,upper,4,0.00129614226533754,1767.04738002418,1762.47261997582,20,1,1,2021-10-19T02:00:00Z,2021-10-19T03:00:00Z
2021-10-19T03:15:00Z,1769.04,1768.05,1769.04,1767.76,3190,3,2021-10-19,1.25164506097148,0.070792401853538,TRUE,63,1,upper,2,0.0017698100463384,1771.17911265243,1764.92088734757,20,1,1,2021-10-19T03:15:00Z,2021-10-19T03:45:00Z
2021-10-19T04:00:00Z,1771.93,1772.03,1772.7,1771.55,2943,4,2021-10-19,1.4977892494482,0.0845239216857617,TRUE,60,1,upper,15,0.00211309804214406,1775.77447312362,1768.28552687638,20,1,1,2021-10-19T04:00:00Z,2021-10-19T07:45:00Z
2021-10-20T02:00:00Z,1768.57,1768.38,1768.74,1767.32,2184,2,2021-10-20,0.914249800652646,0.0516998496167479,TRUE,68,1,upper,4,0.00129249624041873,1770.66562450163,1766.09437549837,20,1,1,2021-10-20T02:00:00Z,2021-10-20T03:00:00Z
2021-10-20T03:15:00Z,1772.07,1772.57,1773.36,1771.9,4679,3,2021-10-20,1.39241116478735,0.0785532399164688,TRUE,63,1,upper,18,0.0019638309979117,1776.05102791197,1769.08897208803,20,1,1,2021-10-20T03:15:00Z,2021-10-20T07:45:00Z
2021-10-20T14:15:00Z,1783.55,1782.07,1784.25,1781.32,7527,14,2021-10-20,2.03707079120066,0.114309246617734,TRUE,19,1,upper,1,0.00285773116544338,1787.162676978,1776.977323022,18,1,1,2021-10-20T14:15:00Z,2021-10-20T14:30:00Z
2021-10-20T14:45:00Z,1786.67,1786.51,1788.25,1786.31,9392,14,2021-10-20,2.40652734087254,0.134705506315248,TRUE,17,-1,lower,2,-0.00336763765788118,1792.52631835218,1780.49368164782,16,1,1,2021-10-20T14:45:00Z,2021-10-20T15:15:00Z
2021-10-20T15:30:00Z,1778.26,1779.96,1781.56,1774.73,13220,15,2021-10-20,3.39315843149606,0.190631162020273,TRUE,14,1,vertical,13,0.00373042090833495,1788.44289607874,1771.47710392126,13,1,1,2021-10-20T15:30:00Z,2021-10-20T18:45:00Z
2021-10-21T02:00:00Z,1781.32,1781.61,1782.62,1781.15,2065,2,2021-10-21,1.21502764269308,0.0681982949519302,TRUE,68,1,upper,6,0.00170495737379824,1784.64756910673,1778.57243089327,20,1,1,2021-10-21T02:00:00Z,2021-10-21T03:30:00Z
2021-10-21T13:30:00Z,1777.77,1778.88,1780.44,1777.74,5472,13,2021-10-21,2.1735990910481,0.122189191572681,TRUE,22,1,upper,5,0.00305472978931698,1784.31399772762,1773.44600227238,20,1,1,2021-10-21T13:30:00Z,2021-10-21T14:45:00Z
2021-10-22T02:00:00Z,1784.48,1783.9,1785.07,1783.71,2247,2,2021-10-22,1.20292552300771,0.0674323405464272,TRUE,68,1,upper,4,0.00168580851366067,1786.90731380752,1780.89268619248,20,1,1,2021-10-22T02:00:00Z,2021-10-22T03:00:00Z
2021-10-22T08:45:00Z,1792.7,1793.03,1793.68,1792.4,6211,8,2021-10-22,1.51027659942166,0.0842304144058751,TRUE,41,0,vertical,20,-0.000373669152217237,1796.80569149855,1789.25430850145,20,1,1,2021-10-22T08:45:00Z,2021-10-22T13:45:00Z
2021-10-22T14:30:00Z,1799.25,1804.52,1804.7,1797.73,11662,14,2021-10-22,2.68739508013468,0.148925757549635,TRUE,18,1,upper,6,0.00372314393874089,1811.23848770034,1797.80151229966,17,1,1,2021-10-22T14:30:00Z,2021-10-22T16:00:00Z
2021-10-22T17:30:00Z,1800.62,1787.71,1800.71,1782.66,23463,17,2021-10-22,5.17533115618847,0.289495005128822,TRUE,6,1,vertical,5,0.00535321724440761,1800.64832789047,1774.77167210953,5,1,1,2021-10-22T17:30:00Z,2021-10-22T18:45:00Z
