combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
108,5,0.1,0.2,1,10,0.84876320411057,0.790177892656226,0.735493914520238,0.761855896796892,0.7363843731541,0.639542703429724,0.755361397934869,0.692643845593591,130,145,7,110,98
109,3,0.03,0,1.5,10,0.842494078845483,0.785128983308043,0.732238890461364,0.75776215582894,0.731194756940584,0.635822868473232,0.764098490865767,0.694083694083694,203,217,115,153,172
110,4,0.03,0,1.5,10,0.852363573705687,0.794095267082636,0.738465893008774,0.765270954022146,0.732739787861294,0.632010943912449,0.733915806195393,0.679162072767365,96,109,69,195,117.25
111,5,0.03,0,1.5,10,0.855822865282936,0.799692780337942,0.736767619586754,0.76694166175604,0.73319184502275,0.643347050754458,0.745035742652899,0.690467427309533,60,55,54,57,56.5
112,3,0.05,0,1.5,10,0.838120551811724,0.783366457728176,0.725162751202944,0.753141765267877,0.733989474769853,0.633747547416612,0.76965845909452,0.695121951219512,233,227,35,177,168
113,4,0.05,0,1.5,10,0.862062353858686,0.804337934172607,0.750495329748089,0.776484369280328,0.730052894036462,0.6309127248501,0.752184273232724,0.686231884057971,20,22,148,205,98.75
114,5,0.05,0,1.5,10,0.85729654206659,0.800337371568778,0.738607415793943,0.768234341650107,0.732566331854158,0.642614023144997,0.749801429706116,0.69208211143695,47,50,76,67,60
115,3,0.1,0,1.5,10,0.85706784489068,0.801616346447088,0.743985281630343,0.771726365237816,0.731029337505207,0.630522088353414,0.748212867355044,0.684344351616418,50,41,121,210,105.5
116,4,0.1,0,1.5,10,0.85935574957631,0.803048780487805,0.745542032267195,0.773227653016292,0.72791114766263,0.637377049180328,0.772041302621128,0.698275862068966,33,30,206,134,100.75
117,5,0.1,0,1.5,10,0.8538260987629,0.797485819408248,0.73620152844608,0.76561925086467,0.730695819777199,0.649159663865546,0.736298649722002,0.689988835132118,78,79,136,19,78
118,3,0.03,0.1,1.5,10,0.842019566376616,0.785909920876446,0.730965185394849,0.757442440240505,0.732875070152574,0.634553628773282,0.784749801429706,0.701704545454545,210,209,63,171,163.25
119,4,0.03,0.1,1.5,10,0.842582696017953,0.78612893369997,0.728276252476649,0.75609756097561,0.735521781118611,0.641534391534392,0.770452740270056,0.700108264164562,200,205,12,85,125.5
120,5,0.03,0.1,1.5,10,0.844224527384843,0.788810328927144,0.726294933484291,0.756262894193929,0.733880981051103,0.642604387827318,0.721207307386815,0.679640718562874,175,158,37,69,109.75
121,3,0.05,0.1,1.5,10,0.843338182092419,0.78692272519433,0.730682139824512,0.757760328759081,0.729190971715286,0.632031767041694,0.758538522637014,0.689530685920578,189,193,179,194,188.75
